CODMES,CODSUCAGE,AGENCIA,RATIO_ABANDONO,RATIO_ABANDONO_PLATAFORMA,RATIO_ABANDONO_VENTANILLA,RATIO_ABANDONO_DIGITAL,TICKETS_INTERNO
202406,192030,MALL AVENTURA PLAZA BELLAVISTA,4.89,3.93,5.24,,0.06
202406,255002,MALA,2.94,7.49,1.21,,3.95
202406,191084,NACIONES UNIDAS,3.89,3.18,4.03,,2.39
202406,193064,DEL AIRE,1.74,4.13,1.23,,8.27
202406,193040,LA MARINA OPEN PLAZA,4.04,6.64,3.2,,5.51
202406,191120,PROCERES,0.64,,0.64,,0.02
202406,194022,LURIN,3.86,4.1,3.77,,8.94
202406,380004,LUREN,4.46,5.83,4.16,,7.07
202406,550001,ALCIDES CARRION,4.3,3.7,4.45,,19.59
202406,194053,HUERTOS DEL SUR,4.98,4.83,5.03,,12.94
202406,191023,HABICH,4.85,5,4.8,,2.64
202406,310004,MEGA PLAZA CHIMBOTE,3.03,8.86,1.84,,7.47
202406,390000,IQUITOS,4.2,7.62,3.04,,15.51
202406,191068,GAMARRA,4.33,5.19,4.25,,0.4
202406,215017,SOCABAYA,2.95,7.12,1.46,,10.58
202406,194044,CHAMA,2.58,6.68,1.65,,5.77
202406,191085,HUAYCAN,3.17,6.3,2.31,,4.96
202406,191030,TARAPACA,1.31,2.55,0.93,,4.33
202406,390004,MALL AVENTURA IQUITOS,1.21,2.26,0.87,1.86,7.01
202406,194011,LAS GARDENIAS,3.38,4.05,3.16,,4.69
202406,355005,MANTARO,3.13,8.51,2.39,1.56,4.42
202406,193065,PETIT THOUARS,2.73,2.18,2.91,,1.76
202406,194030,PARQUE INDUSTRIAL LIMA,3.76,8.67,2.63,,7.1
202406,193058,JIRON BOLOGNESI - MERCADO MAGDALENA,4.21,11.54,1.96,,10.79
202406,193007,BCP LAB,4.01,3.73,4.25,,2.96
202406,285006,LA CULTURA,3.38,5.41,2.83,,9.53
202406,245002,ATAHUALPA,4.68,3.17,5.32,,0.51
202406,191028,ANTUNEZ DE MAYOLO,4.27,6,3.73,,9.32
202406,310003,NUEVO CHIMBOTE,3.83,3.59,3.9,,1.6
202406,475001,GRAU,2.08,4.23,1.14,,17.63
202406,191071,CANADA,4.36,10.75,2.67,,1.34
202406,192026,PLAZA CIVICA VENTANILLA,4.48,5.82,3.73,,8.36
202406,355002,CONSTITUCION,3.5,7.57,2.65,,10.25
202406,194073,OVALO HIGUERETA,1.91,2.07,1.91,1.28,6.09
202406,540004,ALTO DEL ALIANZA - TACNA,1.6,2.74,1.32,,5.88
202406,194025,VILLA MARIA DEL TRIUNFO,2.84,4.34,2.46,,3.98
202406,540002,BOLOGNESI,1.21,3.03,0.87,,7.42
202406,191106,METRO WIESSE,3.42,6.17,2.4,,7.87
202406,191096,CANTO GRANDE,2.31,3.69,1.85,,9.92
202406,440000,NAZCA,3.08,3.2,3.04,,3.28
202406,193039,SUCRE,4.91,13.94,1.48,,2.1
202406,194046,PRIMAVERA MONTERRICO,3.85,6.22,3.23,,13.1
202406,194019,CHACARILLA,3.8,7.2,2.86,3.72,9.49
202406,194039,DIAGONAL  MIRAFLORES,2.41,2.53,2.53,0.68,3.11
202406,570019,EL PORVENIR,3.46,2.43,3.93,,5.34
202406,194094,SALVADOR ALLENDE,1.16,3.14,0.53,,7.27
202406,220002,MARISCAL CACERES,4.5,8.95,3.71,,1.69
202406,215015,SIGLO XX,2.24,5.65,1.18,,5.33
202406,193063,ARENALES,4.18,2.28,4.58,,1.03
202406,215014,MARIANO MELGAR,1.66,2.01,1.58,,1.88
202406,191052,SANTA ANITA,4.18,5.86,3.52,,9.58
202406,194069,COMANDANTE ESPINAR 2,4.58,8.81,3.71,,7.05
202406,215005,PARQUE INDUSTRIAL AREQUIPA,2.98,14.23,1,,6.4
202406,191062,PLAZA UNION,4.33,5.48,4.14,,7.12
202406,191078,MENDIOLA,3.46,5.29,3,,3.41
202406,194048,SANTIAGO DE SURCO,4.11,12.36,2.23,,10.05
202406,194064,LOS VIÑEDOS,4.46,7.13,3.51,,5.28
202406,193020,ANGAMOS,4.51,4.49,4.51,,2.76
202406,192022,CANTOLAO,3.43,7.26,2.58,,6
202406,305008,QUIÑONES,4.73,8.38,3.12,,7.73
202406,194097,MATELLINI,3.68,2.71,3.9,,5.38
202406,480003,OPEN PLAZA PUCALLPA,4.25,3.89,4.49,1.81,11.37
202406,191143,NAYLAMP,3.74,5.34,3.34,,9.5
202406,192069,MARANGA,4.9,10.34,3.33,,6.41
202406,191033,PARQUE CANEPA,3.53,4.75,3.39,,0.91
202406,405005,JAUREGUI,1.32,4.83,0.71,,3.05
202406,191017,SAN JUAN DE LURIGANCHO,3.24,4.79,2.73,,3.69
202406,191173,REAL PLAZA SANTA CLARA,3.41,2.41,3.76,,6.43
202406,215009,UMACOLLO,1.84,3.34,1.23,,5.86
202406,193012,RAUL FERRERO,3.09,7.22,1.74,,3.86
202406,191142,MUNICIPALIDAD DE INDEPENDENCIA,3.57,,3.57,,19.22
202406,193053,PEZET,3.18,11.66,1.2,5.45,8.15
202406,375002,ANTONIO RAIMONDI,1.83,4.59,1.63,,9.08
202406,385001,TOWN SITE,2.52,40.63,1.1,,1.12
202406,191113,CHIMPU OCLLO,3.94,3.18,4.19,,12.23
202406,355006,REAL PLAZA HUANCAYO,2.73,7.71,1.82,,7.95
202406,570007,HUSARES DE JUNIN,4.7,4.59,5.45,1.74,8.56
202406,191029,PRO,2.76,3.29,2.53,,9.77
202406,285008,HUAYRUROPATA,4.93,11.56,2.95,,4.63
202406,191114,LA SALLE,3.34,6.66,2.56,,5.98
202406,420000,LA OROYA,2.17,5.37,1.6,,6.33
202405,194097,MATELLINI,3.42,3.51,3.4,,4.89
202405,193055,LOS ROBLES,3.79,4.31,3.59,,5.92
202405,191084,NACIONES UNIDAS,1.91,3.57,1.59,,2.02
202405,193012,RAUL FERRERO,3.01,7.37,1.38,,3.47
202405,570019,EL PORVENIR,3.91,3.93,3.9,,8.06
202405,405005,JAUREGUI,1.22,5.05,0.53,,2.32
202405,191114,LA SALLE,3.32,7.09,2.45,,5.79
202405,193065,PETIT THOUARS,1.85,2.79,1.53,,1.66
202405,191120,PROCERES,0.51,,0.51,,0.11
202405,193053,PEZET,3.47,10.75,1.24,8.06,11.32
202405,193039,SUCRE,4.77,10.2,2.72,,3.87
202405,191068,GAMARRA,3.29,2.67,3.34,,0.76
202405,191030,TARAPACA,1.65,2.51,1.37,,4.83
202405,191062,PLAZA UNION,3.69,4.59,3.56,,8.36
202405,193058,JIRON BOLOGNESI - MERCADO MAGDALENA,4.87,12.81,2.56,,6.86
202405,380004,LUREN,2.62,5.79,1.79,,7.34
202405,194039,DIAGONAL  MIRAFLORES,1.99,2.26,2.01,0.44,4.73
202405,540004,ALTO DEL ALIANZA - TACNA,2.7,5.28,2.11,,9.56
202405,194094,SALVADOR ALLENDE,0.8,1.56,0.54,,5.5
202405,191017,SAN JUAN DE LURIGANCHO,3.09,4.53,2.6,,3.19
202405,540002,BOLOGNESI,1.68,3.45,1.32,,7.41
202405,194022,LURIN,4.33,4.98,4.03,,11.86
202405,355005,MANTARO,2.3,8.79,1.47,0.8,3.42
202405,480003,OPEN PLAZA PUCALLPA,4.57,2.82,5.06,2.92,14.68
202405,191143,NAYLAMP,3.54,5.91,2.88,,8.73
202405,215015,SIGLO XX,1.9,4.58,1.14,,5.45
202405,310004,MEGA PLAZA CHIMBOTE,4.6,12.31,3.17,,8.15
202405,194048,SANTIAGO DE SURCO,3.6,14.45,1.04,,9.08
202405,390004,MALL AVENTURA IQUITOS,1.17,2.65,0.82,1.3,7.05
202405,191071,CANADA,4.8,10.26,3.32,,1.13
202405,192026,PLAZA CIVICA VENTANILLA,4.33,5.02,3.96,,7.43
