,link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
653,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2584-arch-two-barranco-lima-lima-arch-inversiones-inmobiliarias,Arch Two,-12.1401798,-77.0138717,Jiron Aurelio Souza 447,Barranco,En construcción,"30 de Septiembre, 2024",Banco Interbank,"['Área de juegos para niños', 'Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Zona de Lavandería', 'Zona de Parrillas']",flat,X02,"Pisos: 3, 6, 7",3,68.83 m2,"S/ 414,759"
5130,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2940-amaranta-pueblo-libre-lima-lima-abril-grupo-inmobiliario,Amaranta,-12.0720557,-77.0628819,Av Bolivar 959,Pueblo Libre,En construcción,"30 de Enero, 2026",Banco Scotiabank,"['Área de juegos para niños', 'Gimnasio', 'Jardin de niños', 'Parque privado', 'Sala Bar', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,AMT - 1304 y 1404,Pisos: 13 y 14,3,72.91 m2,"S/ 493,378"
1157,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3289-marina-city-center-san-miguel-lima-lima-inverdes,Marina City Center,-12.07574716789446,-77.09247194744486,Av. Rafael Escardo Aguirre N° 530,San Miguel,En construcción,"31 de Diciembre, 2025",BBVA,"['Lobby', 'Parque privado', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Terraza', 'Video vigilancia', 'Zona de Parrillas']",flat,Tipo 6,Pisos: Entre 5 al 20,2,68.90 m2,"S/ 473,760"
4044,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2511-miramar-etapa-ii-san-bartolo-lima-lima-octagon,Miramar Etapa II,-12.382257666090016,-76.78487423416375,Urbanización Casco Urbano San Bartolo Manzana Z 2 Lote 1,San Bartolo,En construcción,"30 de Septiembre, 2024",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Cancha de Fulbito', 'Club House', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Minimarket', 'Piscina', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,Tipo 5,"Pisos: 1, 2, 3, 7",3,66.72 m2,"S/ 398,000"
1313,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3238-la-rosa-park-jesus-maria-lima-lima-infinity-group,La Rosa Park,-12.087301244590025,-77.05873428808431,Quiñones 102,Jesus Maria,En planos,"31 de Diciembre, 2025",Banco BCP,"['Cuarto servicio', 'Lobby']",flat,Tipo 2,"Pisos: 2, 3, 4, 6",3,81.41 m2,"S/ 737,000"
5346,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2965-santorini-cercado-de-lima-lima-lima-brazil-grupo-inmobiliario,Santorini,-12.073561795487,-77.03112064660345,Av. Alejandro Tirado 731,Cercado de lima,En construcción,"01 de Marzo, 2026",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Boulevard peatonal', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,S16,Piso: 2,2,75.43 m2,"S/ 474,813"
2441,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2785-torre-paino-surquillo-lima-lima-tale-inmobiliaria,TORRE PAINO,-12.1027396,-77.0239488,"Avenida Aramburú 668, Surquillo",Surquillo,En construcción,"31 de Diciembre, 2025",Financiamiento Propio,"['Área de juegos para niños', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,X01-B,Pisos: Entre 4 al 22,2,62.38 m2,"S/ 447,000"
3882,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2900-catari-371-san-miguel-lima-lima-grupo-brocksa,CATARI 371,-12.0752445,-77.10035479999999,Hermanos Catarí 371,San Miguel,En construcción,"30 de Abril, 2025",BBVA,"['Sala de usos Múltiples', 'Terraza']",flat,TipoG,Piso: 1,3,84.50 m2,"S/ 544,000"
4430,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2258-s29-magdalena-del-mar-lima-lima-llosa-edificaciones-urban,S29,-12.096069,-77.05514079999999,Av. Salaverry 2900,Magdalena Del Mar,En construcción,"31 de Enero, 2025","Banco BCP, BBVA, Banco Pichincha, Banco Interbank, Banco Scotiabank","['Gimnasio', 'Lobby', 'Piscina', 'Salon Gourmet', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,Tipo 5,Piso: 5,1,40.76 m2,"$ 107,570"
1446,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3214-boulevard-icaro-chorrillos-lima-lima-capac-asociados,BOULEVARD ÍCARO,-12.1766666,-77.00124029999999,Calle ícaro 136,Chorrillos,En planos,"31 de Diciembre, 2026",Financiamiento Propio,"['Jardin interior', 'Lobby', 'Zona de Parrillas']",flat,BX01,Pisos: Entre 1 al 6,2,67.00 m2,"S/ 320,430"
